Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1789.89078948,OUT049
FDW14,1789.89078948,OUT017
NCN55,542.837518449,OUT010
FDQ58,1800.71252845,OUT017
FDY38,5869.25184573,OUT027
FDH56,1789.89078948,OUT046
FDL48,763.735863852,OUT018
FDC48,2753.38646098,OUT027
FDN33,1789.89078948,OUT045
FDA36,1800.71252845,OUT017
FDT44,1789.89078948,OUT017
FDQ56,1789.89078948,OUT045
NCC54,542.837518449,OUT019
FDU11,1789.89078948,OUT049
DRL59,837.164992849,OUT013
FDM24,2583.18291265,OUT049
FDI57,3572.00934736,OUT045
DRC12,2611.66423433,OUT018
NCM42,2753.38646098,OUT027
FDA46,542.837518449,OUT010
FDA31,2595.7865269,OUT013
NCJ31,4055.9254728,OUT035
FDG52,768.815928123,OUT046
NCL19,344.426855637,OUT019
FDS10,2606.43890836,OUT035
FDX22,542.837518449,OUT010
NCF19,767.012841804,OUT035
NCE06,1252.90396067,OUT046
DRC27,2615.59255083,OUT046
FDE21,2465.11099147,OUT035
NCR42,122.842904747,OUT019
FDX51,2611.66423433,OUT018
NCR06,687.314113317,OUT018
FDU31,5869.25184573,OUT027
FDU59,3298.141558,OUT017
FDR03,5869.25184573,OUT027
FDS49,2753.38646098,OUT027
FDD48,280.168038159,OUT010
NCF18,3558.41926203,OUT017
NCD43,1308.81609952,OUT027
NCD54,2511.74588897,OUT018
FDY19,315.288900575,OUT010
NCY54,3396.46073707,OUT017
NCL19,2572.07118125,OUT018
FDP23,542.837518449,OUT010
FDC26,1299.39727718,OUT013
FDR14,122.842904747,OUT010
NCS41,1800.71252845,OUT035
FDF41,4064.25012513,OUT035
FDU34,2477.42993307,OUT046
DRH11,973.34425959,OUT046
FDM03,1789.89078948,OUT013
FDS31,2606.43890836,OUT017
FDJ20,1789.89078948,OUT017
FDV44,4094.62367815,OUT027
FDG02,1800.71252845,OUT049
FDA09,3365.21166413,OUT013
FDT04,728.484600979,OUT013
FDL58,542.837518449,OUT019
FDE52,3265.01958144,OUT045
FDW12,1800.71252845,OUT035
FDL51,2615.59255083,OUT017
NCY42,4094.62367815,OUT027
FDR07,1228.32490429,OUT017
FDN40,2583.18291265,OUT045
FDB35,2753.38646098,OUT027
FDA22,3264.98068292,OUT017
NCL06,2615.59255083,OUT046
FDI35,3365.24913055,OUT013
NCW42,2615.59255083,OUT045
NCX06,2604.1036007,OUT049
FDC37,2753.38646098,OUT027
FDZ14,2467.3584542,OUT018
DRG49,4019.53709857,OUT049
NCG06,4208.21417691,OUT045
DRC36,3392.61416793,OUT045
FDV21,289.161796746,OUT019
FDB53,3289.18051171,OUT046
DRP47,542.837518449,OUT019
FDA14,1299.39727718,OUT013
DRC24,3307.89620755,OUT035
FDW21,1789.89078948,OUT018
NCH29,1789.89078948,OUT046
FDU58,2611.66423433,OUT013
FDY27,2598.00000074,OUT017
FDV56,1183.88288712,OUT035
FDT59,4053.90443733,OUT046
FDB23,4004.90460181,OUT046
FDR49,765.863070211,OUT045
FDB03,542.837518449,OUT010
FDN39,2589.55478611,OUT045
FDX02,5869.25184573,OUT027
FDQ16,4094.62367815,OUT027
FDU35,1789.89078948,OUT018
NCT29,1789.89078948,OUT013
FDZ27,768.815928123,OUT046
FDN57,2490.93741956,OUT017
FDA03,2572.07118125,OUT018
FDZ36,3499.02366877,OUT045
NCU05,1292.55514903,OUT013
FDT39,2583.18291265,OUT018
FDK60,1789.89078948,OUT017
FDZ25,2595.7865269,OUT017
FDG12,2467.3584542,OUT046
DRB01,443.535020468,OUT019
NCC43,4094.62367815,OUT027
FDX13,542.837518449,OUT019
FDM22,883.357956881,OUT049
FDJ03,814.095207261,OUT027
FDU14,4015.31622481,OUT018
FDB33,392.411537377,OUT010
FDP27,2611.66423433,OUT046
FDO38,203.643010688,OUT010
FDE28,4094.62367815,OUT027
FDO27,1789.89078948,OUT035
DRL23,2753.38646098,OUT027
FDS28,966.040087407,OUT046
FDX24,1789.89078948,OUT013
FDZ02,1183.88288712,OUT035
FDL46,1183.88288712,OUT045
FDS60,4094.62367815,OUT027
NCO06,682.843545838,OUT017
FDO16,1789.89078948,OUT035
FDC60,1234.47265652,OUT049
FDA48,3786.97982637,OUT018
FDZ36,5869.25184573,OUT027
FDK27,1789.89078948,OUT045
FDW23,683.80989289,OUT018
FDM14,2461.8787445,OUT018
FDM14,2461.8787445,OUT013
FDW60,3318.98771732,OUT018
FDE21,2465.11099147,OUT013
NCM42,1789.89078948,OUT035
FDY59,211.229889017,OUT010
DRI49,1789.89078948,OUT049
FDT28,358.1158158,OUT019
FDQ22,685.618594928,OUT018
FDR60,1185.14645504,OUT049
FDC50,253.005818754,OUT019
FDV24,1800.71252845,OUT013
DRF48,444.982851394,OUT010
FDQ47,689.211606336,OUT046
DRN36,1789.89078948,OUT049
NCY06,2480.10877068,OUT035
FDE52,3265.01958144,OUT035
NCB54,1789.89078948,OUT045
NCF31,1800.71252845,OUT035
FDJ08,4094.62367815,OUT027
NCC07,1789.89078948,OUT017
NCD19,999.906851954,OUT027
FDL46,1193.04302407,OUT049
FDM20,4163.20997049,OUT045
NCI06,542.837518449,OUT010
DRM11,4250.57537903,OUT035
NCH07,2583.18291265,OUT018
FDS23,1793.35036678,OUT013
FDO49,762.447867626,OUT018
FDS35,1166.94958072,OUT049
DRK39,1789.89078948,OUT045
DRI39,967.508827024,OUT049
FDV04,1800.71252845,OUT017
NCN14,1800.71252845,OUT035
FDH08,4007.39107335,OUT013
FDS20,2611.66423433,OUT046
FDV40,1181.68914415,OUT049
FDZ48,272.278240633,OUT010
FDS24,1349.10301231,OUT027
FDK44,2595.7865269,OUT049
FDS48,1800.71252845,OUT045
FDK26,542.837518449,OUT010
FDD23,3507.41076025,OUT045
NCH54,1800.71252845,OUT017
NCP14,314.924608871,OUT010
FDM60,122.842904747,OUT010
